REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9135,1,2014,7,17,PVMT,PVMT_DEEP,NA,1.4625,17.8774343,-66.124001,3989134,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.07919923,27.12719913,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9142,1,2014,7,14,PTRF,PTRF_DEEP,NA,0.254166667,17.9265787,-66.089251,4746226,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,10.05839968,12.4967996,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9143,1,2014,7,17,PTRF,PTRF_SHLW,NA,0.141666667,17.9361393,-66.06457,4897682,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.58239963,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9144,1,2014,7,15,AGRF,AGRF_SHLW,NA,0.502083333,17.9422992,-66.024378,5000997,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,2.133599932,3.047999902,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9145,1,2014,7,17,PTRF,PTRF_SHLW,NA,0.354166667,17.9445264,-66.081883,5021521,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,5.791199815,6.705599785,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9146,1,2014,7,15,PVMT,PVMT_DEEP,NA,0.3375,17.9489529,-65.987478,5111187,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,18.28799941,23.77439924,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9147,1,2014,7,14,PVMT,PVMT_SHLW,NA,0.304166667,17.9582346,-66.003829,5248792,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.010399776,8.229599737,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9148,1,2014,7,15,PVMT,PVMT_SHLW,NA,0.2625,18.0162314,-65.819322,6178251,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.36319967,10.97279965,10,ACR CERV,Acropora cervicornis,1,0,12,8,8,0,0,N,A
PRICO,9148,1,2014,7,15,PVMT,PVMT_SHLW,NA,0.2625,18.0162314,-65.819322,6178251,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.36319967,10.97279965,10,ACR CERV,Acropora cervicornis,1,0,18,6,11,0,0,N,A
PRICO,9148,1,2014,7,15,PVMT,PVMT_SHLW,NA,0.2625,18.0162314,-65.819322,6178251,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.36319967,10.97279965,10,ACR CERV,Acropora cervicornis,1,0,26,21,8,40,0,N,A
PRICO,9148,1,2014,7,15,PVMT,PVMT_SHLW,NA,0.2625,18.0162314,-65.819322,6178251,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.36319967,10.97279965,10,ACR CERV,Acropora cervicornis,1,0,30,20,13,75,0,N,A
PRICO,9152,1,2014,8,19,PVMT,PVMT_DEEP,NA,0.942307692,18.0982239,-65.3285,7562570,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,20.42159935,22.85999927,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9153,1,2014,8,20,PTRF,PTRF_DEEP,NA,0.120833333,18.2122896,-65.395513,9282923,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,21.9455993,21.9455993,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9154,1,2014,5,29,AGRF,AGRF_DEEP,NA,0.779166667,17.8670479,-67.124006,3642914,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,21.9455993,26.51759915,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9155,1,2014,5,29,PVMT,PVMT_DEEP,NA,0.366666667,17.8720038,-67.076306,3725599,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.98319942,23.46959925,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9156,1,2014,5,28,AGRF,AGRF_DEEP,NA,0.1375,17.8760135,-67.116835,3780569,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,23.46959925,24.68879921,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9157,1,2014,5,28,AGRF,AGRF_DEEP,NA,0.516666667,17.8961533,-67.007162,4104255,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,16.45919947,18.8975994,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
