REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,MEAN_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,6008,1,2019,10,2,AGRF,AGRF_DEEP,NA,NA,0.592,17.8859416,-67.11578665,3931975,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,23.16479926,26.21279916,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6011,1,2019,10,2,AGRF,AGRF_DEEP,NA,NA,0.538666667,17.88615905,-67.0917227,3938908,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,18.28799941,18.59279941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6020,1,2019,9,28,PVMT,PVMT_DEEP,NA,NA,0.132666667,17.89295345,-67.23744503,4021183,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.10639958,13.41119957,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6021,1,2019,9,28,PVMT,PVMT_DEEP,NA,NA,0.198,17.89452917,-67.2619657,4041777,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,16.15439948,16.76399946,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6023,1,2019,10,2,AGRF,AGRF_DEEP,NA,NA,0.572666667,17.89401925,-67.06427357,4062842,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,23.77439924,25.29839919,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6027,1,2019,12,29,PVMT,PVMT_DEEP,NA,NA,0.203333333,17.89543432,-66.98122084,4097428,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,20.11679936,21.03119933,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6030,1,2019,10,2,AGRF,AGRF_DEEP,NA,NA,0.262,17.90078503,-67.06325651,4166074,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.23999951,15.84959949,9,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6038,1,2019,9,9,AGRF,AGRF_DEEP,NA,NA,0.276,17.90824158,-66.99664626,4290091,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,18.28799941,21.03119933,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6044,1,2019,9,9,AGRF,AGRF_DEEP,NA,NA,0.116666667,17.91657372,-66.97248825,4420900,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,12.80159959,13.41119957,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6048,1,2019,9,28,PVMT,PVMT_DEEP,NA,NA,0.051333333,17.92239358,-67.29661696,4461505,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.06879945,17.37359944,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,35,22,14,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,18,16,11,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,7,6,4,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,18,12,10,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,8,5,3,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,20,16,10,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,16,12,14,0,0,N,A
PRICO,6050,1,2019,9,9,PVMT,PVMT_SHLW,NA,NA,0.474,17.92190769,-67.0078175,4496527,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.05839968,10.66799966,10,ACR CERV,Acropora cervicornis,1,0,13,6,7,0,0,N,A
PRICO,6062,1,2019,9,9,PVMT,PVMT_DEEP,NA,NA,0.133333333,17.93033527,-67.03698078,4620341,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.41119957,14.02079955,10,ACR CERV,Acropora cervicornis,1,0,36,22,10,0,0,N,A
PRICO,6062,1,2019,9,9,PVMT,PVMT_DEEP,NA,NA,0.133333333,17.93033527,-67.03698078,4620341,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,13.41119957,14.02079955,10,ACR CERV,Acropora cervicornis,1,0,30,22,11,0,0,N,A
PRICO,6085,1,2019,9,9,SCR,SCR_SHLW,NA,NA,0.004,17.94036576,-67.09161428,4764747,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,2.438399922,3.352799893,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6086,1,2019,9,28,PVMT,PVMT_DEEP,NA,NA,0.051333333,17.94277121,-67.30208588,4771183,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.67839943,18.28799941,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6087,1,2019,12,29,AGRF,AGRF_SHLW,NA,NA,0.396,17.93950917,-66.96278899,4771902,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,1.828799941,3.352799893,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,6097,1,2019,9,10,PTRF,PTRF_DEEP,NA,NA,0.812,17.95202712,-67.32748642,4908769,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,14.93519952,16.76399946,8,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
