"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE"
"PRICO",6004,1,2021,11,2,"AGRF","AGRF_DEEP",NA,NA,0.316666666666667,17.87492,-67.15802,3759836,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",26.2127991611904,29.2607990636544,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6005,1,2021,11,2,"AGRF","AGRF_DEEP",NA,NA,0.376666666666667,17.87425,-67.07114,3760020,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",20.1167993562624,21.0311993270016,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6010,1,2021,10,19,"AGRF","AGRF_DEEP",NA,NA,0.410666666666667,17.87754,-67.13861,3801169,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",29.2607990636544,29.8703990441472,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6011,1,2021,12,24,"AGRF","AGRF_DEEP",NA,NA,0.337333333333333,17.86715,-66.24999,3803053,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",24.6887992099584,26.2127991611904,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6017,1,2021,10,18,"PVMT","PVMT_DEEP",NA,NA,0.18,17.88365,-67.2193,3883582,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.5927994050304,19.5071993757696,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6020,1,2021,10,19,"AGRF","AGRF_DEEP",NA,NA,0.51,17.8848,-67.08406,3918278,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.287999414784,18.8975993952768,6,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6023,1,2021,5,28,"AGRF","AGRF_DEEP",NA,NA,0.542,17.88787,-67.08273,3966455,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",17.0687994537984,17.9831994245376,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6025,1,2021,5,28,"AGRF","AGRF_DEEP",NA,NA,0.504,17.88876,-67.09141,3980201,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.8975993952768,20.1167993562624,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6029,1,2021,10,18,"PVMT","PVMT_SHLW",NA,NA,0.0886666666666667,17.89346,-67.25025,4028038,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.3631996683776,10.667999658624,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6035,1,2021,10,19,"AGRF","AGRF_DEEP",NA,NA,0.434,17.8957,-67.00885,4097369,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",17.3735994440448,18.8975993952768,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
