Year,Location,Region,Reference
1969,La Parguera,Southern,Winter et al. (1998); Jackson et al. (2014); Williams & Bunkley-Williams (1990)
1981,La Parguera,Southern,Winter et al (1998); Jackson et al. (2014); Williams & Bunkley-Williams (1990); Williams et al. (1987)
1982,Multiple,Multiple,Williams & Bunkley-Williams (1989)
1983,Multiple,Multiple,Williams & Bunkley-Williams (1989)
1986,La Parguera,Southern,Winter et al (1998); Williams & Bunkley-Williams (1990)
1986,Multiple,Multiple,Williams & Bunkley-Williams (1990)
1986,Culebra,Eastern,Winter et al (1998); Williams & Bunkley-Williams (1990)
1987,Culebra,Eastern,Van Woesik & Kratochwill (2022)
1987,Mayaguez,Western,Van Woesik & Kratochwill (2022)
1987,La Parguera,Southern,Bunkley-Williams & Williams 1988; Williams & Bunkley-Williams (1990); Goenaga et al. (1989); Winter et al. (1998); Williams et al. (1987)
1987,Ponce,Southern,Bunkley-Williams & Williams 1988
1987,Humacao,Eastern,Bunkley-Williams & Williams 1988
1987,Vieques,Eastern,Williams & Bunkley-Williams (1990)
1987,Culebra,Eastern,Williams & Bunkley-Williams (1990)
1987,Mona,Western,Williams & Bunkley-Williams (1990); Bunkley-Williams & Williams 1988
1987,Multiple,Multiple,Williams & Bunkley-Williams (1990)
1988,Multiple,Multiple,Williams & Bunkley-Williams (1990)
1988,La Parguera,Southern,Winter et al. (1998); Williams & Bunkley-Williams (1990)
1989,Mona,Western,Williams & Bunkley-Williams (1990)
1989,Multiple,Multiple,Williams & Bunkley-Williams (1990)
1989,La Parguera,Southern,Winter et al. (1998); Williams & Bunkley-Williams (1990)
1990,Multiple,Multiple,Goenaga & Canals (1990)
1990,La Parguera,Southern,Winter et al. (1998)
1991,La Parguera,Southern,Winter et al. (1998)
1992,La Parguera,Southern,Winter et al. (1998)
1993,La Parguera,Southern,Winter et al. (1998)
1995,La Parguera,Southern,Winter et al. (1998)
1998,Culebra,Eastern,Van Woesik & Kratochwill (2022)
1998,Lajas,Southern,Van Woesik & Kratochwill (2022)
1999,Ceiba,Eastern,Van Woesik & Kratochwill (2022)
1999,Cabo Rojo,Western,Van Woesik & Kratochwill (2022)
1999,Fajardo,Eastern,Van Woesik & Kratochwill (2022)
1999,Lajas,Southern,Van Woesik & Kratochwill (2022)
2001,Culebra,Eastern,Van Woesik & Kratochwill (2022)
2003,Cabo Rojo,Western,Van Woesik & Kratochwill (2022)
2003,Culebra,Eastern,Van Woesik & Kratochwill (2022)
2003,Fajardo,Eastern,Van Woesik & Kratochwill (2022)
2003,Lajas,Southern,Van Woesik & Kratochwill (2022)
2003,Vieques,Eastern,Van Woesik & Kratochwill (2022)
2005,Ceiba,Eastern,Van Woesik & Kratochwill (2022)
2005,Cabo Rojo,Western,Van Woesik & Kratochwill (2022)
2005,Culebra,Eastern,Van Woesik & Kratochwill (2022)
2005,Fajardo,Eastern,Van Woesik & Kratochwill (2022)
2005,Guayanilla,Southern,Van Woesik & Kratochwill (2022)
2005,Isabela,Northern,Van Woesik & Kratochwill (2022)
2005,Lajas,Southern,Van Woesik & Kratochwill (2022)
2005,Mayaguez,Western,Van Woesik & Kratochwill (2022)
2005,San Juan,Northern,Van Woesik & Kratochwill (2022)
2005,Multiple,Multiple,Eakin et al (2010)
2010,Lajas,Southern,Van Woesik & Kratochwill (2022)
2014,Carolina,Northern,Van Woesik & Kratochwill (2022)
2014,Guayama,Southern,Van Woesik & Kratochwill (2022)
2014,San Juan,Northern,Van Woesik & Kratochwill (2022)
2014,Vega Alta,Northern,Van Woesik & Kratochwill (2022)
2015,Fajardo,Eastern,Van Woesik & Kratochwill (2022)
2015,Guayama,Southern,Van Woesik & Kratochwill (2022)
2015,San Juan,Northern,Van Woesik & Kratochwill (2022)
2015,Vieques,Eastern,Van Woesik & Kratochwill (2022)
2016,San Juan,Northern,Van Woesik & Kratochwill (2022)
2017,Fajardo,Eastern,Van Woesik & Kratochwill (2022)
2017,Guanica,Southern,Van Woesik & Kratochwill (2022)
2017,Lajas,Southern,Van Woesik & Kratochwill (2022)
2017,San Juan,Northern,Van Woesik & Kratochwill (2022)
2017,Toa Baja,Northern,Van Woesik & Kratochwill (2022)
2019,Vega Baja,Northern,Van Woesik & Kratochwill (2022)
2019,Multiple,Multiple,NCRMP 2019 Surveys
2021,Parguera,Southern,Courtney (Personal Observations)
2021,Multiple,Multiple,NCRMP 2021 Surveys
2022,Vega Baja,Northern,"ReefCheck: Kiara M Matías-Rojas, Melissa M. Figueroa Santos"
2023,Culebra,Eastern,"ReefCheck: Fernando Rodriguez-Negron, Solimar Melendez-Felix"
2023,Isabela,Northern,PR Coral List: Michael Nemeth
2023,San Juan,Northern,PR Coral List: Sean Griffin
2023,Toa Alta,Northern,"ReefCheck: Carolina Aragonés-Fred, Fernando Rodriguez-Negron, Liz A Collazo-Pagán"
2023,Vega Baja,Northern,PR Coral List: Ricardo Laureano
2023,Vega Baja,Northern,"ReefCheck: Carolina Aragonés-Fred, Joel Melendez-Diaz"
2023,Parguera,Southern,PR Coral List: Jan Zegarra
2023,Parguera,Southern,PR Coral List: Catalina Morales
2023,Parguera,Southern,PR Coral List: Ernesto Weil
2023,Parguera,Southern,PR Coral List: Miguel Figuerola
2023,Parguera,Southern,Courtney (Personal Observations)
2023,Salinas,Southern,PR Coral List: Angel Dieppa
2023,Salinas,Southern,NCRMP 2023 Press Release
2023,Aguadilla,Western,PR Coral List: Mark Martin
2023,Joyuda,Western,PR Coral List: Miguel Figuerola
2023,Rincon,Western,Courtney (Personal Observations)
