site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,year,date,depth (m),organism_code,type,s1 (0-20m),s2 (25-45m),s3 (50-70m),s4 (75-95m),fish_recorded_by,inverts_recorded_by,errors,what_errors
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Butterflyfish,Fish,7,0,1,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Haemulidae,Fish,15,10,3,4,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Snapper,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Parrotfish,Fish,0,2,2,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Moray Eel,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Nassau Grouper 30-40 cm,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Nassau Grouper 40-50 cm,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Nassau Grouper 50-60 cm,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Nassau Grouper > 60 cm,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
2b11c3cc-a515-46b0-b2cc-596f41fe7c09,05b19eaf-80f2-4b39-8037-9c053995ada3,66.1.9.7W.18.27.1.4N,Isla Verde (Reserva Marina Arrecife Isla Verde),"18.450389, -66.019361",66,1,9.7,W,18,27,1.4,N,Puerto Rico,"",Carolina,Atlantic,2023,09-June-23,3.7,Nassau Grouper Total,Fish,0,0,0,0,Paco Lopez Mujica,"Fernando Rodriguez - Negron, Joel Melendez-Diaz","",""
